iter	Passed	Remaining
0	177	176998
1	178	89050
2	179	59513
3	179	44745
4	180	35896
5	181	29990
6	181	25773
7	182	22618
8	183	20170
9	183	18202
10	184	16584
11	185	15237
12	185	14095
13	186	13120
14	186	12273
15	187	11529
16	188	10873
17	188	10290
18	189	9773
19	189	9304
20	190	8881
21	191	8495
22	191	8142
23	192	7818
24	192	7520
25	193	7245
26	194	6991
27	194	6756
28	195	6537
29	196	6341
30	196	6154
31	198	5995
32	199	5849
33	200	5697
34	201	5554
35	202	5415
36	202	5281
37	203	5158
38	204	5037
39	205	4922
40	205	4812
41	206	4712
42	207	4613
43	207	4517
44	209	4435
45	209	4353
46	210	4271
47	211	4192
48	212	4117
49	212	4044
50	213	3973
51	214	3905
52	214	3840
53	215	3777
54	216	3718
55	217	3660
56	217	3603
57	218	3551
58	219	3500
59	220	3450
60	221	3406
61	222	3365
62	223	3322
63	224	3281
64	225	3239
65	226	3199
66	226	3158
67	227	3119
68	228	3080
69	229	3042
70	229	3006
71	230	2973
72	231	2939
73	232	2906
74	233	2874
75	233	2842
76	234	2812
77	235	2782
78	236	2753
79	236	2725
80	237	2697
81	238	2670
82	238	2639
83	239	2613
84	240	2588
85	241	2564
86	242	2543
87	243	2521
88	244	2500
89	245	2480
90	246	2459
91	247	2439
92	248	2424
93	249	2405
94	250	2385
95	251	2366
96	252	2346
97	252	2326
98	253	2306
99	254	2290
100	255	2273
101	256	2256
102	257	2238
103	257	2221
104	258	2205
105	259	2188
106	260	2171
107	261	2155
108	261	2139
109	262	2122
110	263	2106
111	263	2090
112	264	2076
113	265	2062
114	266	2048
115	266	2034
116	267	2019
117	268	2006
118	269	1995
119	270	1983
120	271	1970
121	271	1956
122	272	1944
123	273	1935
124	274	1923
125	275	1911
126	276	1899
127	277	1888
128	278	1877
129	278	1866
130	279	1856
131	280	1847
132	281	1837
133	282	1826
134	283	1816
135	284	1806
136	285	1797
137	286	1788
138	287	1780
139	288	1771
140	289	1761
141	289	1750
142	290	1741
143	291	1733
144	292	1726
145	293	1718
146	294	1709
147	295	1700
148	296	1692
149	297	1683
150	298	1676
151	299	1669
152	300	1662
153	301	1653
154	301	1645
155	302	1637
156	303	1630
157	305	1627
158	306	1620
159	307	1613
160	307	1604
161	308	1596
162	309	1589
163	310	1582
164	311	1574
165	312	1567
166	312	1560
167	313	1553
168	314	1546
169	315	1539
170	316	1532
171	317	1526
172	318	1520
173	318	1513
174	319	1506
175	320	1500
176	321	1494
177	322	1488
178	323	1483
179	324	1478
180	325	1473
181	326	1468
182	327	1464
183	329	1460
184	330	1455
185	331	1449
186	331	1443
187	332	1437
188	333	1431
189	334	1426
190	335	1421
191	336	1417
192	337	1412
193	338	1407
194	339	1401
195	340	1396
196	341	1392
197	342	1388
198	343	1384
199	344	1379
200	345	1374
201	346	1370
202	348	1369
203	350	1365
204	351	1361
205	352	1357
206	353	1353
207	354	1350
208	355	1345
209	356	1341
210	357	1336
211	358	1331
212	359	1327
213	360	1324
214	361	1320
215	362	1316
216	363	1311
217	364	1306
218	365	1301
219	366	1298
220	367	1294
221	368	1290
222	369	1286
223	370	1282
224	370	1277
225	371	1273
226	373	1271
227	374	1266
228	374	1262
229	375	1257
230	376	1253
231	377	1250
232	378	1247
233	379	1243
234	380	1239
235	381	1236
236	382	1232
237	383	1228
238	384	1225
239	385	1222
240	387	1219
241	388	1216
242	389	1212
243	390	1210
244	392	1208
245	393	1206
246	394	1203
247	395	1199
248	396	1196
249	398	1194
250	400	1195
251	401	1192
252	403	1190
253	405	1190
254	406	1187
255	407	1184
256	408	1182
257	410	1179
258	411	1176
259	412	1173
260	413	1169
261	414	1166
262	415	1163
263	416	1161
264	417	1158
265	418	1154
266	419	1151
267	420	1147
268	421	1145
269	422	1143
270	423	1140
271	424	1136
272	426	1134
273	427	1132
274	428	1129
275	429	1127
276	430	1124
277	431	1121
278	432	1117
279	433	1115
280	435	1113
281	436	1110
282	437	1107
283	437	1104
284	438	1100
285	440	1100
286	442	1098
287	443	1095
288	443	1092
289	444	1088
290	446	1086
291	447	1084
292	448	1082
293	449	1078
294	450	1075
295	451	1073
296	452	1070
297	453	1068
298	454	1065
299	455	1063
300	456	1060
301	457	1057
302	459	1056
303	460	1054
304	461	1051
305	462	1048
306	463	1045
307	464	1043
308	465	1040
309	466	1038
310	467	1035
311	468	1032
312	469	1029
313	470	1027
314	471	1025
315	472	1023
316	473	1020
317	474	1017
318	475	1014
319	476	1012
320	477	1009
321	478	1007
322	479	1004
323	480	1002
324	481	999
325	482	996
326	483	994
327	484	993
328	485	990
329	486	988
330	487	985
331	488	983
332	489	981
333	490	978
334	491	976
335	492	973
336	493	971
337	494	968
338	496	967
339	497	965
340	498	962
341	498	960
342	499	957
343	501	955
344	502	953
345	503	951
346	504	949
347	505	946
348	506	943
349	507	942
350	508	940
351	509	937
352	510	935
353	511	932
354	512	930
355	513	929
356	514	927
357	515	925
358	517	923
359	518	920
360	519	919
361	520	917
362	521	915
363	522	913
364	523	911
365	525	909
366	526	907
367	527	905
368	528	903
369	529	901
370	530	899
371	531	897
372	532	895
373	533	893
374	534	890
375	535	888
376	536	885
377	537	883
378	538	881
379	539	879
380	539	877
381	540	874
382	541	872
383	542	870
384	543	867
385	544	865
386	544	863
387	545	860
388	546	858
389	547	856
390	548	854
391	549	852
392	550	849
393	551	847
394	552	845
395	553	843
396	554	841
397	554	839
398	555	837
399	556	835
400	557	833
401	558	831
402	560	829
403	560	827
404	561	825
405	562	823
406	564	822
407	565	820
408	566	818
409	567	817
410	569	816
411	571	815
412	572	814
413	573	812
414	575	810
415	576	809
416	577	807
417	578	805
418	579	803
419	580	802
420	582	800
421	583	798
422	584	796
423	585	794
424	586	793
425	587	791
426	588	790
427	589	788
428	590	786
429	591	784
430	592	782
431	594	781
432	595	779
433	596	777
434	597	775
435	598	774
436	599	772
437	600	770
438	601	769
439	602	766
440	603	764
441	604	763
442	605	761
443	606	759
444	607	757
445	608	755
446	609	753
447	610	752
448	611	750
449	612	749
450	613	747
451	614	745
452	615	743
453	616	741
454	617	740
455	618	738
456	619	736
457	620	734
458	621	732
459	622	731
460	623	729
461	625	727
462	625	726
463	626	724
464	627	722
465	628	720
466	629	718
467	631	717
468	632	716
469	633	714
470	634	712
471	635	711
472	637	710
473	638	708
474	639	706
475	639	704
476	641	703
477	642	701
478	643	700
479	644	698
480	645	696
481	646	694
482	647	692
483	648	691
484	649	689
485	650	687
486	651	685
487	651	683
488	652	682
489	653	680
490	654	678
491	655	677
492	656	675
493	657	673
494	658	671
495	658	669
496	659	667
497	660	666
498	661	664
499	662	662
500	663	660
501	664	658
502	664	656
503	665	655
504	666	653
505	667	651
506	668	649
507	669	648
508	670	646
509	670	644
510	671	642
511	672	640
512	673	639
513	674	637
514	674	635
515	675	633
516	676	632
517	677	630
518	678	628
519	678	626
520	679	624
521	680	623
522	681	621
523	681	619
524	682	617
525	683	615
526	684	614
527	685	612
528	686	610
529	686	609
530	687	607
531	688	605
532	689	603
533	690	602
534	690	600
535	691	598
536	692	597
537	693	595
538	694	593
539	694	591
540	695	590
541	696	588
542	697	586
543	698	585
544	698	583
545	699	581
546	700	580
547	701	578
548	702	576
549	702	575
550	703	573
551	704	571
552	705	570
553	706	568
554	706	566
555	707	565
556	708	563
557	709	561
558	710	560
559	710	558
560	711	556
561	712	555
562	713	553
563	713	551
564	714	550
565	715	548
566	716	547
567	717	545
568	718	543
569	718	542
570	719	540
571	720	539
572	721	537
573	722	536
574	723	534
575	723	532
576	724	531
577	725	529
578	726	528
579	727	526
580	727	524
581	728	523
582	729	521
583	730	520
584	731	518
585	731	517
586	732	515
587	733	513
588	734	512
589	735	510
590	735	509
591	736	507
592	737	506
593	738	504
594	739	503
595	739	501
596	740	499
597	741	498
598	742	496
599	743	495
600	743	493
601	744	492
602	745	490
603	746	489
604	747	487
605	747	486
606	748	484
607	749	483
608	750	481
609	750	480
610	751	478
611	752	477
612	753	475
613	754	474
614	755	472
615	755	471
616	756	469
617	757	468
618	758	466
619	759	465
620	759	463
621	760	462
622	761	460
623	762	459
624	763	457
625	763	456
626	764	454
627	765	453
628	766	451
629	767	450
630	767	449
631	768	447
632	769	446
633	770	444
634	771	443
635	771	441
636	772	440
637	773	438
638	774	437
639	775	435
640	775	434
641	776	433
642	777	431
643	778	430
644	778	428
645	779	427
646	780	425
647	781	424
648	782	422
649	782	421
650	783	420
651	784	418
652	785	417
653	786	415
654	786	414
655	787	413
656	788	411
657	789	410
658	790	408
659	790	407
660	791	405
661	792	404
662	793	403
663	794	401
664	794	400
665	795	399
666	796	397
667	797	396
668	798	394
669	798	393
670	799	392
671	800	390
672	801	389
673	802	388
674	802	386
675	803	385
676	804	383
677	805	382
678	806	381
679	807	379
680	807	378
681	808	377
682	809	375
683	810	374
684	811	372
685	811	371
686	812	370
687	813	368
688	814	367
689	814	366
690	815	364
691	816	363
692	817	362
693	818	360
694	818	359
695	819	358
696	820	356
697	821	355
698	821	353
699	822	352
700	823	351
701	824	349
702	825	348
703	825	347
704	826	345
705	827	344
706	828	343
707	829	341
708	829	340
709	830	339
710	831	337
711	832	336
712	833	335
713	833	334
714	834	332
715	835	331
716	836	330
717	837	328
718	837	327
719	838	326
720	839	324
721	840	323
722	840	322
723	841	320
724	842	319
725	843	318
726	844	316
727	844	315
728	845	314
729	846	313
730	847	311
731	848	310
732	848	309
733	849	307
734	850	306
735	851	305
736	851	304
737	852	302
738	853	301
739	854	300
740	855	298
741	855	297
742	856	296
743	857	295
744	858	293
745	859	292
746	859	291
747	860	289
748	861	288
749	862	287
750	863	286
751	863	284
752	864	283
753	865	282
754	866	281
755	867	279
756	867	278
757	868	277
758	869	276
759	870	274
760	871	273
761	871	272
762	872	271
763	873	269
764	874	268
765	874	267
766	875	266
767	876	264
768	877	263
769	878	262
770	878	261
771	879	259
772	880	258
773	881	257
774	882	256
775	882	254
776	883	253
777	884	252
778	885	251
779	885	249
780	886	248
781	887	247
782	888	246
783	889	244
784	889	243
785	890	242
786	891	241
787	892	240
788	893	238
789	893	237
790	894	236
791	895	235
792	896	233
793	897	232
794	897	231
795	898	230
796	899	229
797	900	227
