iter	Passed	Remaining
0	155	155745
1	156	78159
2	157	52251
3	157	39308
4	159	31799
5	160	26587
6	161	22857
7	161	20057
8	162	17912
9	163	16210
10	165	14840
11	166	13669
12	166	12665
13	167	11795
14	168	11039
15	168	10381
16	170	9863
17	171	9366
18	172	8911
19	173	8493
20	174	8117
21	174	7777
22	175	7474
23	177	7208
24	178	6951
25	178	6704
26	179	6478
27	180	6268
28	181	6089
29	183	5931
30	184	5756
31	184	5593
32	185	5441
33	186	5297
34	187	5170
35	189	5071
36	190	4949
37	190	4834
38	191	4723
39	192	4618
40	193	4534
41	194	4443
42	195	4353
43	196	4266
44	197	4184
45	197	4105
46	199	4049
47	201	3991
48	202	3923
49	203	3857
50	203	3795
51	205	3739
52	206	3681
53	206	3622
54	207	3566
55	208	3511
56	209	3458
57	209	3407
58	211	3366
59	212	3323
60	213	3280
61	213	3235
62	214	3192
63	215	3150
64	216	3109
65	217	3080
66	219	3050
67	219	3014
68	220	2979
69	221	2944
70	222	2915
71	224	2890
72	225	2859
73	225	2827
74	226	2797
75	227	2766
76	228	2739
77	229	2718
78	230	2692
79	231	2664
80	232	2637
81	233	2610
82	233	2580
83	234	2555
84	235	2538
85	236	2517
86	237	2493
87	238	2470
88	239	2447
89	239	2425
90	240	2403
91	242	2389
92	243	2371
93	243	2351
94	244	2330
95	245	2309
96	245	2289
97	247	2273
98	248	2262
99	249	2247
100	250	2229
101	251	2212
102	251	2194
103	252	2178
104	255	2173
105	256	2160
106	256	2143
107	257	2126
108	258	2109
109	259	2097
110	260	2090
111	261	2076
112	262	2062
113	263	2047
114	264	2032
115	264	2018
116	265	2006
117	266	1994
118	267	1982
119	268	1969
120	269	1955
121	269	1941
122	270	1929
123	271	1921
124	273	1912
125	274	1901
126	274	1889
127	275	1877
128	276	1865
129	277	1854
130	278	1847
131	279	1838
132	280	1827
133	281	1817
134	282	1806
135	282	1796
136	284	1789
137	285	1781
138	286	1772
139	286	1762
140	287	1752
141	288	1742
142	289	1735
143	291	1733
144	292	1725
145	293	1715
146	294	1706
147	294	1696
148	296	1691
149	297	1687
150	298	1678
151	299	1669
152	299	1660
153	300	1650
154	301	1643
155	303	1639
156	304	1632
157	304	1624
158	305	1616
159	306	1607
160	306	1598
161	307	1592
162	309	1591
163	310	1584
164	311	1577
165	312	1569
166	312	1561
167	314	1555
168	315	1550
169	316	1544
170	317	1538
171	317	1530
172	318	1523
173	319	1516
174	321	1513
175	322	1507
176	322	1501
177	323	1494
178	324	1487
179	325	1480
180	326	1476
181	327	1473
182	328	1467
183	329	1461
184	330	1455
185	331	1449
186	332	1444
187	333	1440
188	334	1435
189	335	1429
190	336	1423
191	336	1417
192	337	1412
193	338	1408
194	339	1403
195	340	1397
196	341	1392
197	342	1386
198	342	1380
199	343	1374
200	345	1371
201	346	1367
202	347	1362
203	347	1357
204	348	1353
205	349	1347
206	350	1343
207	352	1340
208	353	1336
209	353	1331
210	354	1326
211	355	1321
212	356	1317
213	357	1314
214	358	1310
215	359	1305
216	360	1300
217	360	1294
218	361	1289
219	363	1287
220	364	1286
221	365	1282
222	366	1277
223	367	1272
224	368	1268
225	370	1267
226	371	1265
227	372	1261
228	373	1256
229	374	1252
230	376	1253
231	377	1250
232	378	1245
233	379	1241
234	380	1237
235	381	1235
236	383	1233
237	383	1228
238	384	1224
239	385	1220
240	386	1217
241	388	1215
242	389	1212
243	390	1208
244	390	1204
245	391	1200
246	393	1198
247	394	1196
248	395	1193
249	396	1188
250	397	1184
251	397	1180
252	399	1179
253	400	1176
254	401	1173
255	402	1169
256	403	1165
257	403	1161
258	404	1157
259	405	1154
260	406	1151
261	407	1148
262	408	1144
263	409	1140
264	409	1136
265	410	1133
266	412	1132
267	413	1128
268	413	1124
269	414	1121
270	415	1117
271	416	1113
272	417	1112
273	418	1109
274	419	1105
275	420	1101
276	420	1098
277	421	1095
278	422	1092
279	424	1090
280	424	1087
281	425	1084
282	426	1080
283	427	1076
284	427	1073
285	429	1071
286	430	1069
287	431	1066
288	432	1062
289	432	1059
290	433	1055
291	434	1052
292	435	1050
293	436	1048
294	437	1045
295	438	1042
296	438	1038
297	439	1035
298	440	1032
299	441	1029
300	442	1028
301	443	1026
302	444	1023
303	445	1019
304	446	1016
305	447	1014
306	449	1013
307	450	1011
308	450	1008
309	451	1005
310	452	1002
311	453	999
312	454	997
313	455	995
314	456	992
315	457	989
316	457	986
317	458	983
318	459	980
319	460	978
320	461	976
321	462	973
322	462	970
323	463	967
324	464	964
325	465	961
326	466	959
327	467	957
328	468	955
329	468	952
330	469	949
331	470	946
332	471	944
333	472	942
334	473	940
335	474	937
336	474	934
337	475	931
338	476	928
339	477	925
340	478	923
341	479	922
342	480	919
343	480	916
344	481	914
345	482	911
346	482	908
347	483	905
348	485	904
349	486	902
350	487	900
351	487	897
352	488	895
353	489	893
354	491	892
355	492	891
356	493	889
357	494	886
358	495	884
359	496	882
360	498	881
361	499	879
